time,A,B,C,D
0.09,92,95,115,164
0.18,93,93,113,160
0.26,94,96,117,162
0.35,96,97,116,166
0.44,94,94,115,161
0.52,97,96,119,166
0.61,96,96,115,164
0.70,97,99,119,169
0.79,95,96,113,164
0.87,98,98,119,165
0.96,96,96,119,164
1.05,97,98,125,165
1.14,94,95,120,160
1.22,92,92,113,158
1.31,96,95,120,162
1.40,96,98,119,165
1.48,96,95,119,162
1.57,97,97,114,165
1.66,98,98,125,164
1.75,98,98,119,167
1.83,99,96,118,165
1.92,100,100,120,172
2.01,97,95,112,163
2.09,95,95,113,163
2.18,99,98,118,169
2.27,96,95,115,162
2.36,95,94,114,163
2.44,97,95,112,164
2.53,99,100,122,172
2.62,95,94,112,161
2.71,97,95,113,163
2.79,97,96,115,165
2.88,96,94,111,163
2.97,96,95,118,161
3.05,95,92,109,160
3.14,98,97,115,167
3.23,97,96,117,163
3.32,96,98,117,168
3.40,96,95,117,164
3.49,97,95,113,163
3.58,96,95,112,163
3.66,100,99,120,171
3.75,97,94,112,163
3.84,96,95,121,160
3.93,95,95,113,163
4.01,99,97,118,165
4.10,99,97,120,169
4.19,96,96,116,165
4.28,96,94,111,162
4.36,97,96,116,165
4.45,97,96,114,164
4.54,96,95,113,165
4.62,99,96,119,165
4.71,95,94,112,160
4.80,96,95,117,164
4.89,97,95,112,164
4.97,97,95,113,163
5.06,96,96,123,163
5.15,97,96,113,163
5.24,98,97,116,166
5.32,95,93,113,161
5.41,97,95,113,163
5.50,99,99,128,167
5.58,96,96,117,164
5.67,97,94,112,163
5.76,100,98,121,166
5.85,96,96,113,164
5.93,96,95,115,164
6.02,97,96,116,163
6.11,96,95,113,162
6.19,98,95,112,163
6.28,97,96,114,166
6.37,97,96,120,164
6.46,97,96,118,164
6.54,97,97,115,166
6.63,97,94,113,164
6.72,95,93,110,162
6.81,98,98,123,167
6.89,100,100,126,168
6.98,101,101,122,172
7.07,98,98,118,167
7.15,95,95,112,161
7.24,96,94,112,163
7.33,97,96,114,165
7.42,96,95,113,164
7.50,100,100,126,172
7.59,96,95,113,164
7.68,97,95,113,164
7.76,94,94,112,161
7.85,96,96,116,163
7.94,99,97,118,163
8.03,96,94,113,162
8.11,100,99,120,169
8.20,94,93,110,160
8.29,96,95,117,165
8.38,97,95,112,163
8.46,97,95,112,163
8.55,98,95,113,163
8.64,94,93,110,160
8.72,98,95,115,166
8.81,101,99,127,168
8.90,99,99,120,170
8.99,96,95,115,160
9.07,96,95,112,163
9.16,97,96,125,163
9.25,97,96,118,167
9.33,97,96,122,162
9.42,98,97,113,165
9.51,99,99,123,169
9.60,95,93,118,160
9.68,95,94,111,163
9.77,99,98,126,163
9.86,101,100,124,170
9.95,97,94,112,162
10.03,98,96,116,164
10.12,98,98,121,167
10.21,95,93,111,161
10.29,95,94,111,161
10.38,97,97,118,164
10.47,96,93,112,163
10.56,97,95,116,163
10.64,96,95,117,161
10.73,98,96,118,165
10.82,98,96,117,164
10.90,98,95,112,164
10.99,97,95,113,164
11.08,97,95,111,163
11.17,97,96,115,165
11.25,98,96,115,166
11.34,98,95,118,164
11.43,97,95,116,162
11.52,97,95,117,164
11.60,98,98,118,168
11.69,98,96,112,163
11.78,94,92,111,158
11.86,96,94,112,162
11.95,97,95,112,163
12.04,98,97,120,165
12.13,97,94,112,162
12.21,98,96,118,163
12.30,100,100,123,169
12.39,97,95,113,162
12.47,96,95,112,162
12.56,95,93,112,159
12.65,97,95,118,165
12.74,96,95,119,161
12.82,97,96,119,162
12.91,99,98,121,167
13.00,97,95,116,162
13.09,96,95,112,164
13.17,98,97,119,165
13.26,97,96,117,164
13.35,98,98,120,167
13.43,97,95,116,162
13.52,96,95,119,163
13.61,97,95,118,164
13.70,97,97,117,167
13.78,97,95,117,163
13.87,99,95,116,166
13.96,98,95,112,163
14.04,96,94,113,160
14.13,96,95,112,163
14.22,97,96,114,165
14.31,99,97,125,165
14.39,96,94,115,160
14.48,96,95,113,164
14.57,96,96,118,165
14.66,95,93,116,160
14.74,97,94,112,162
14.83,93,92,111,157
14.92,97,97,121,160
15.00,98,95,114,163
15.09,100,98,119,168
15.18,95,93,115,156
15.27,97,96,115,167
15.35,100,99,126,170
15.44,96,96,118,163
15.53,96,95,114,163
15.62,101,101,127,169
15.70,95,94,113,161
15.79,100,100,126,171
15.88,96,95,113,163
15.96,96,94,116,160
16.05,98,97,117,170
16.14,96,93,111,161
16.23,98,95,115,162
16.31,96,93,111,161
16.40,96,94,113,163
16.49,97,96,117,166
16.57,97,97,117,166
16.66,97,96,117,165
16.75,95,94,110,160
16.84,97,96,120,163
16.92,97,95,113,164
17.01,96,94,121,162
17.10,96,95,118,161
17.19,96,96,116,164
17.27,97,96,118,162
17.36,97,95,112,164
17.45,98,96,120,165
17.53,96,95,113,165
17.62,97,95,117,163
17.71,95,95,116,164
17.80,116,115,137,185
17.88,113,111,124,183
17.97,114,113,130,185
18.06,97,96,113,163
18.14,98,96,118,164
