time,A,B,C,D,OD_A,OD_B,OD_C,OD_D
0.01,30.00,87.00,113.00,158.00,0.06,0.17,0.22,0.31
0.10,34.00,83.00,110.00,153.00,0.07,0.16,0.21,0.30
0.19,33.00,84.00,108.00,154.00,0.06,0.16,0.21,0.30
0.27,38.00,85.00,115.00,154.00,0.07,0.17,0.22,0.30
0.36,31.00,86.00,111.00,156.00,0.06,0.17,0.22,0.30
0.45,26.00,82.00,107.00,153.00,0.05,0.16,0.21,0.30
0.54,29.00,83.00,109.00,152.00,0.06,0.16,0.21,0.30
0.62,36.00,85.00,108.00,153.00,0.07,0.17,0.21,0.30
0.71,28.00,84.00,109.00,153.00,0.05,0.16,0.21,0.30
0.80,34.00,83.00,104.00,151.00,0.07,0.16,0.20,0.29
0.89,40.00,84.00,104.00,153.00,0.08,0.16,0.20,0.30
0.97,34.00,84.00,104.00,153.00,0.07,0.16,0.20,0.30
1.06,86.00,84.00,106.00,152.00,0.17,0.16,0.21,0.30
1.15,87.00,84.00,112.00,152.00,0.17,0.16,0.22,0.30
1.24,39.00,84.00,108.00,152.00,0.08,0.16,0.21,0.30
1.32,46.00,87.00,111.00,156.00,0.09,0.17,0.22,0.30
1.41,37.00,84.00,106.00,152.00,0.07,0.16,0.21,0.30
1.50,40.00,84.00,104.00,152.00,0.08,0.16,0.20,0.30
1.59,43.00,82.00,109.00,150.00,0.08,0.16,0.21,0.29
1.67,42.00,84.00,104.00,153.00,0.08,0.16,0.20,0.30
1.76,84.00,82.00,108.00,150.00,0.16,0.16,0.21,0.29
1.85,91.00,86.00,109.00,156.00,0.18,0.17,0.21,0.30
1.94,87.00,83.00,104.00,152.00,0.17,0.16,0.20,0.30
2.02,90.00,84.00,105.00,153.00,0.18,0.16,0.20,0.30
2.11,37.00,84.00,108.00,152.00,0.07,0.16,0.21,0.30
2.20,37.00,83.00,108.00,153.00,0.07,0.16,0.21,0.30
2.29,39.00,82.00,103.00,151.00,0.08,0.16,0.20,0.29
2.37,86.00,84.00,108.00,152.00,0.17,0.16,0.21,0.30
2.46,89.00,84.00,107.00,153.00,0.17,0.16,0.21,0.30
2.55,36.00,83.00,106.00,152.00,0.07,0.16,0.21,0.30
2.64,37.00,85.00,106.00,153.00,0.07,0.17,0.21,0.30
2.72,34.00,82.00,107.00,149.00,0.07,0.16,0.21,0.29
2.81,36.00,82.00,110.00,151.00,0.07,0.16,0.21,0.29
2.90,33.00,85.00,109.00,153.00,0.06,0.17,0.21,0.30
2.99,38.00,84.00,106.00,154.00,0.07,0.16,0.21,0.30
3.07,40.00,84.00,105.00,153.00,0.08,0.16,0.20,0.30
3.16,38.00,83.00,106.00,152.00,0.07,0.16,0.21,0.30
3.25,37.00,84.00,106.00,154.00,0.07,0.16,0.21,0.30
3.34,46.00,89.00,109.00,158.00,0.09,0.17,0.21,0.31
3.42,42.00,85.00,108.00,153.00,0.08,0.17,0.21,0.30
3.51,38.00,84.00,107.00,153.00,0.07,0.16,0.21,0.30
3.60,40.00,85.00,109.00,153.00,0.08,0.17,0.21,0.30
3.69,42.00,89.00,111.00,157.00,0.08,0.17,0.22,0.31
3.77,42.00,85.00,107.00,153.00,0.08,0.17,0.21,0.30
3.86,39.00,85.00,108.00,154.00,0.08,0.17,0.21,0.30
3.95,41.00,85.00,109.00,153.00,0.08,0.17,0.21,0.30
4.04,105.00,91.00,115.00,159.00,0.20,0.18,0.22,0.31
4.12,42.00,85.00,109.00,153.00,0.08,0.17,0.21,0.30
4.21,39.00,85.00,107.00,153.00,0.08,0.17,0.21,0.30
4.30,45.00,86.00,106.00,153.00,0.09,0.17,0.21,0.30
4.39,38.00,85.00,113.00,152.00,0.07,0.17,0.22,0.30
4.47,42.00,88.00,111.00,156.00,0.08,0.17,0.22,0.30
4.56,94.00,88.00,114.00,155.00,0.18,0.17,0.22,0.30
4.65,91.00,87.00,111.00,155.00,0.18,0.17,0.22,0.30
4.74,93.00,88.00,109.00,156.00,0.18,0.17,0.21,0.30
4.82,93.00,91.00,115.00,157.00,0.18,0.18,0.22,0.31
4.91,47.00,92.00,115.00,158.00,0.09,0.18,0.22,0.31
5.00,56.00,93.00,115.00,158.00,0.11,0.18,0.22,0.31
5.09,52.00,95.00,120.00,160.00,0.10,0.19,0.23,0.31
5.17,57.00,98.00,122.00,161.00,0.11,0.19,0.24,0.31
5.26,54.00,99.00,126.00,162.00,0.11,0.19,0.25,0.32
5.35,60.00,105.00,131.00,165.00,0.12,0.20,0.26,0.32
5.44,72.00,109.00,137.00,168.00,0.14,0.21,0.27,0.33
5.52,80.00,115.00,147.00,173.00,0.16,0.22,0.29,0.34
5.61,102.00,130.00,161.00,179.00,0.20,0.25,0.31,0.35
5.70,102.00,136.00,173.00,184.00,0.20,0.27,0.34,0.36
5.79,163.00,149.00,195.00,192.00,0.32,0.29,0.38,0.37
5.87,179.00,166.00,222.00,200.00,0.35,0.32,0.43,0.39
5.96,201.00,192.00,257.00,213.00,0.39,0.37,0.50,0.42
6.05,176.00,215.00,296.00,228.00,0.34,0.42,0.58,0.44
6.14,202.00,256.00,330.00,244.00,0.39,0.50,0.64,0.48
6.22,262.00,272.00,359.00,261.00,0.51,0.53,0.70,0.51
6.31,220.00,296.00,421.00,281.00,0.43,0.58,0.82,0.55
6.40,216.00,339.00,497.00,305.00,0.42,0.66,0.97,0.59
6.49,350.00,409.00,567.00,333.00,0.68,0.80,1.11,0.65
6.57,382.00,471.00,635.00,358.00,0.74,0.92,1.24,0.70
6.66,420.00,532.00,710.00,387.00,0.82,1.04,1.38,0.75
6.75,461.00,600.00,784.00,419.00,0.90,1.17,1.53,0.82
6.84,460.00,655.00,865.00,455.00,0.90,1.28,1.69,0.89
6.92,437.00,696.00,875.00,499.00,0.85,1.36,1.71,0.97
7.01,470.00,749.00,879.00,531.00,0.92,1.46,1.71,1.04
7.10,493.00,798.00,880.00,556.00,0.96,1.56,1.72,1.08
7.19,400.00,799.00,880.00,579.00,0.78,1.56,1.72,1.13
7.27,172.00,806.00,880.00,633.00,0.34,1.57,1.72,1.23
7.36,182.00,779.00,881.00,688.00,0.35,1.52,1.72,1.34
7.45,191.00,788.00,880.00,713.00,0.37,1.54,1.72,1.39
