time,A,B,C,D
0.09,94,91,119,171
0.18,91,90,121,167
0.26,108,103,133,181
0.35,95,91,112,167
0.44,95,90,114,171
0.52,95,95,115,169
0.61,94,100,118,167
0.70,114,123,135,195
0.79,93,95,115,169
0.87,92,95,121,170
0.96,97,96,125,169
1.05,93,93,122,169
1.14,94,97,126,170
1.22,93,96,123,169
1.31,95,98,128,169
1.40,97,101,127,172
1.48,93,104,127,170
1.57,95,116,133,170
1.66,93,129,122,172
1.75,96,148,126,171
1.83,94,174,132,171
1.92,96,197,128,175
2.01,94,220,133,169
2.09,93,238,138,172
2.18,95,255,137,174
2.27,96,264,143,177
2.36,95,276,150,174
2.44,97,277,145,179
2.53,96,280,148,177
2.62,99,284,151,184
2.71,96,282,144,179
2.79,112,274,160,202
2.88,104,289,155,182
2.97,94,278,148,175
3.05,96,275,151,179
3.14,99,271,148,183
3.23,101,267,158,190
3.32,98,264,153,187
3.40,101,254,147,191
3.49,96,248,148,179
3.58,93,244,143,180
3.66,89,237,144,175
3.75,104,234,145,190
3.84,96,231,148,182
3.93,100,226,151,197
4.01,100,222,150,199
4.10,105,221,152,207
4.19,104,215,149,209
4.28,114,233,165,213
4.36,112,230,163,213
4.45,115,223,156,214
4.54,101,218,156,201
4.62,102,214,153,200
4.71,100,209,151,197
4.80,102,210,149,200
4.89,102,209,150,204
4.97,100,205,154,201
5.06,107,202,148,220
5.15,109,202,157,224
5.24,102,199,151,208
5.32,110,198,149,226
5.41,102,195,156,205
5.50,107,294,172,217
5.58,103,285,163,212
5.67,110,270,172,222
5.76,105,253,180,213
5.85,107,240,169,219
5.93,108,227,162,213
6.02,110,225,165,222
6.11,109,218,185,220
6.19,107,210,164,220
6.28,111,213,161,236
6.37,115,210,167,235
6.46,116,209,162,239
6.54,110,208,163,225
6.63,114,214,160,234
6.72,113,255,169,228
6.81,118,248,169,239
6.89,115,237,164,232
6.98,115,231,161,233
7.07,116,253,175,236
7.15,117,270,164,237
7.24,119,262,163,238
7.33,120,256,169,245
7.42,126,249,166,252
7.50,133,250,170,270
7.59,134,259,172,279
7.68,140,260,173,296
7.76,141,266,182,309
7.85,174,331,196,369
7.94,160,311,184,359
8.03,171,314,185,401
8.11,188,336,201,433
8.20,205,339,195,481
8.29,217,342,210,531
8.38,234,352,228,587
8.46,261,366,238,647
8.55,275,377,244,728
8.64,297,386,259,774
8.72,312,395,270,813
8.81,348,414,297,874
8.90,370,448,341,881
8.99,388,480,371,886
9.07,418,522,407,886
9.16,447,547,450,888
9.25,506,589,496,889
9.33,572,632,554,888
9.42,669,690,622,889
9.51,700,718,695,888
9.60,763,772,736,889
9.68,828,855,845,890
9.77,871,871,861,889
9.86,875,873,879,888
9.95,879,876,883,888
10.03,880,878,886,887
10.12,880,878,887,885
10.21,881,879,887,884
10.29,881,880,887,883
10.38,880,879,887,882
10.47,881,880,887,883
10.56,881,880,887,880
10.64,881,880,886,876
10.73,881,881,886,876
10.82,881,880,885,879
10.90,881,880,884,875
10.99,882,880,882,877
11.08,881,880,880,874
11.17,882,881,877,869
11.25,881,881,873,872
11.34,882,881,866,874
11.43,881,881,839,868
11.52,881,881,819,871
11.60,881,881,821,849
11.69,881,880,821,842
11.78,881,881,821,855
11.86,882,881,825,835
11.95,881,881,822,833
12.04,881,881,825,853
