time,A,B,C,D
0.01,0.14,0.12,0.19,0.22
0.10,0.09,0.11,0.17,0.20
0.19,0.08,0.11,0.17,0.20
0.28,0.13,0.11,0.17,0.20
0.36,0.13,0.11,0.17,0.20
0.45,0.15,0.12,0.19,0.22
0.54,0.13,0.11,0.17,0.20
0.63,0.08,0.11,0.17,0.20
0.71,0.13,0.11,0.17,0.20
0.80,0.13,0.11,0.17,0.20
0.89,0.13,0.11,0.16,0.20
0.98,0.13,0.11,0.17,0.20
1.06,0.09,0.11,0.16,0.20
1.15,0.11,0.11,0.17,0.20
1.24,0.14,0.11,0.17,0.20
1.33,0.10,0.10,0.13,0.16
1.41,0.13,0.11,0.13,0.16
1.50,0.10,0.10,0.12,0.16
1.59,0.16,0.10,0.12,0.16
1.68,0.11,0.10,0.13,0.16
1.76,0.13,0.11,0.12,0.16
1.85,0.13,0.10,0.13,0.16
1.94,0.13,0.09,0.13,0.16
2.03,0.16,0.11,0.13,0.16
2.11,0.18,0.11,0.13,0.16
2.20,0.20,0.10,0.12,0.16
2.29,0.26,0.10,0.13,0.15
2.38,0.24,0.11,0.14,0.16
2.46,0.32,0.11,0.13,0.16
2.55,0.29,0.11,0.13,0.16
2.64,0.36,0.13,0.13,0.16
2.73,0.38,0.13,0.13,0.16
2.81,0.44,0.13,0.13,0.16
2.90,0.47,0.14,0.13,0.16
2.99,0.53,0.15,0.13,0.16
3.08,0.63,0.16,0.13,0.16
3.16,0.67,0.17,0.13,0.16
3.25,0.78,0.18,0.13,0.16
3.34,0.82,0.18,0.13,0.16
3.43,0.79,0.19,0.13,0.16
3.51,0.74,0.18,0.13,0.16
3.60,0.79,0.19,0.13,0.16
3.69,0.80,0.19,0.13,0.16
3.78,0.69,0.17,0.13,0.16
3.86,0.85,0.19,0.13,0.16
3.95,0.79,0.19,0.14,0.16
4.04,0.76,0.18,0.13,0.16
4.13,0.16,0.11,0.13,0.16
4.21,0.65,0.16,0.13,0.16
4.30,0.50,0.15,0.13,0.15
4.39,0.76,0.19,0.13,0.16
4.48,0.67,0.18,0.13,0.16
4.56,0.68,0.17,0.13,0.16
4.65,0.61,0.17,0.13,0.16
4.74,0.20,0.12,0.13,0.16
4.83,0.55,0.16,0.14,0.16
4.91,0.57,0.17,0.13,0.16
5.00,0.60,0.17,0.13,0.16
5.09,0.57,0.17,0.13,0.16
5.18,0.58,0.17,0.13,0.16
5.26,0.58,0.17,0.14,0.16
5.35,0.56,0.17,0.14,0.16
5.44,0.61,0.18,0.13,0.16
5.53,0.63,0.19,0.14,0.16
5.61,0.64,0.19,0.14,0.16
5.70,0.08,0.16,0.15,0.16
5.79,0.65,0.20,0.14,0.16
5.88,0.65,0.21,0.14,0.16
5.96,0.55,0.21,0.14,0.16
6.05,0.63,0.22,0.14,0.16
6.14,0.47,0.20,0.15,0.16
6.23,0.59,0.23,0.15,0.16
6.31,0.58,0.23,0.15,0.16
6.40,0.57,0.24,0.15,0.16
6.49,0.49,0.27,0.16,0.16
6.58,0.46,0.28,0.15,0.16
6.66,0.54,0.29,0.16,0.16
6.75,0.53,0.32,0.16,0.16
6.84,0.51,0.32,0.17,0.16
6.93,0.51,0.32,0.17,0.16
7.01,0.41,0.31,0.16,0.16
7.10,0.49,0.31,0.16,0.16
7.19,0.46,0.31,0.18,0.16
7.28,0.43,0.29,0.17,0.16
7.36,0.37,0.29,0.17,0.16
7.45,0.37,0.27,0.18,0.16
7.54,0.35,0.25,0.18,0.16
7.63,0.32,0.24,0.19,0.17
7.71,0.27,0.23,0.21,0.17
7.80,0.26,0.22,0.22,0.17
7.89,0.27,0.22,0.24,0.17
7.98,0.20,0.21,0.25,0.17
8.06,0.23,0.20,0.26,0.17
8.15,0.22,0.20,0.30,0.18
8.24,0.24,0.20,0.33,0.18
8.33,0.21,0.20,0.37,0.19
8.41,0.22,0.19,0.39,0.20
8.50,0.14,0.19,0.45,0.20
8.59,0.03,0.19,0.50,0.21
8.68,0.21,0.19,0.56,0.22
8.76,0.21,0.18,0.59,0.22
8.85,0.21,0.18,0.64,0.23
8.94,0.21,0.18,0.69,0.24
9.03,0.21,0.18,0.71,0.24
9.11,0.21,0.17,0.75,0.25
9.20,0.20,0.17,0.79,0.26
9.29,0.22,0.17,0.80,0.27
9.38,0.22,0.17,0.80,0.29
9.46,0.21,0.16,0.82,0.30
9.55,0.22,0.17,0.78,0.32
9.64,0.21,0.16,0.77,0.33
9.73,0.22,0.16,0.73,0.33
9.81,0.22,0.16,0.71,0.33
9.90,0.21,0.16,0.69,0.33
9.99,0.20,0.16,0.69,0.33
