time,A,B,C,D	
0.09,94,88,111,160
0.18,95,90,113,160
0.26,96,90,109,162
0.35,95,89,114,158
0.44,91,83,107,152
0.52,95,89,111,160
0.61,97,91,115,161
0.70,95,88,111,158
0.79,97,91,112,161
0.87,96,90,112,160
0.96,97,90,111,160
1.05,96,90,110,160
1.14,96,90,112,160
1.22,97,91,109,162
1.31,99,91,115,161
1.40,100,92,119,163
1.48,99,92,117,162
1.57,100,93,115,164
1.66,100,93,114,163
1.75,104,96,121,166
1.83,102,94,114,164
1.92,103,96,115,166
2.01,104,95,120,165
2.09,107,97,117,168
2.18,108,96,121,164
2.27,114,102,124,172
2.36,117,105,129,176
2.44,121,106,129,178
2.53,132,116,142,185
2.62,139,118,147,191
2.71,147,126,151,195
2.79,160,131,163,203
2.88,176,146,176,214
2.97,194,153,184,225
3.05,221,171,209,248
3.14,250,188,234,272
3.23,285,212,272,310
3.32,334,242,316,348
3.40,377,279,358,408
3.49,439,325,419,476
3.58,463,352,452,520
3.66,503,383,496,558
3.75,562,447,580,640
3.84,644,500,671,753
3.93,701,544,741,837
4.01,758,595,821,878
4.10,806,667,874,883
4.19,865,707,882,886
4.28,874,731,885,887
4.36,876,758,887,888
4.45,877,772,888,889
4.54,877,798,887,890
4.62,877,811,888,889
4.71,879,839,888,889
4.80,880,842,888,889
4.89,880,857,888,888
4.97,880,861,887,887
5.06,880,866,886,886
5.15,880,866,885,885
5.24,880,867,884,884
5.32,880,869,884,884
5.41,880,869,883,882
5.50,881,871,882,880
5.58,881,871,879,877
5.67,881,871,876,869
5.76,881,872,872,854
5.85,881,873,865,832
5.93,881,873,851,813
6.02,881,873,836,793
6.11,881,874,819,774
6.19,881,874,806,754
6.28,881,874,789,735
6.37,881,875,772,720
6.46,881,875,756,703
6.54,881,876,743,690
6.63,881,876,732,674
6.72,881,875,720,665
6.81,881,876,705,651
6.89,881,876,694,640
6.98,881,876,683,629
7.07,881,876,671,616
7.15,881,876,662,610
7.24,881,876,653,600
7.33,881,876,641,593
7.42,880,876,629,581
7.50,881,876,619,576
7.59,880,876,611,568
7.68,880,876,606,563
7.76,881,877,598,557
7.85,880,876,590,548
7.94,880,876,584,545
8.03,880,877,576,539
8.11,880,877,569,530
8.20,880,876,564,521
8.29,880,876,559,515
8.38,879,877,553,509
8.46,879,877,546,502
8.55,879,877,541,498
8.64,879,876,537,496
8.72,879,876,534,494
8.81,879,876,528,490
8.90,879,876,522,493
8.99,878,876,515,488
9.07,878,876,509,488
9.16,878,876,504,487
9.25,878,876,499,485
9.33,877,876,492,480
9.42,878,876,490,481
9.51,878,876,487,478
9.60,877,876,487,479
9.68,876,876,484,473
9.77,876,876,484,475
9.86,876,876,480,471
9.95,877,876,479,471
10.03,876,876,478,471
10.12,876,876,477,469
10.21,877,876,479,470
10.29,876,876,475,466
10.38,876,876,472,463
10.47,876,875,471,465
10.56,874,876,471,463
10.64,875,876,471,463
10.73,874,875,468,461
10.82,873,875,466,459
10.90,873,875,466,460
10.99,873,875,464,456
11.08,874,876,466,459
11.17,873,875,465,459
11.25,873,876,463,458
11.34,873,875,461,456
11.43,870,875,461,454
11.52,871,875,459,454
11.60,871,875,460,454
11.69,870,875,460,456
11.78,868,875,456,451
11.86,868,875,456,452
11.95,869,875,457,453
12.04,867,874,456,451
12.13,864,875,457,453
12.21,865,874,454,450
12.30,861,875,454,450
12.39,859,874,451,447
12.47,841,875,454,451
12.56,823,874,452,448
12.65,838,874,453,451
12.74,834,874,453,450
12.82,825,874,451,447
12.91,824,874,450,443
13.00,823,874,452,447
13.09,803,874,452,448
13.17,813,874,450,446
13.26,809,874,450,448
13.35,788,874,451,450
13.43,782,873,449,447
13.52,796,873,452,451
13.61,762,873,448,447
13.70,778,873,449,451
13.78,749,873,449,450
13.87,761,873,449,450
13.96,757,873,450,452
14.05,749,873,447,451
14.13,749,873,449,453
14.22,743,873,449,454
14.31,744,873,449,455
14.39,743,873,449,455
14.48,739,872,448,454
14.57,738,872,448,455
14.66,742,873,448,457
14.74,738,872,448,457
14.83,737,872,450,459
14.92,735,870,446,455
15.00,730,872,447,455
15.09,732,871,446,455
15.18,732,871,450,459
15.27,733,872,449,459
15.35,735,871,450,462
15.44,729,871,447,458
15.53,728,872,449,462
15.62,725,872,448,463
15.70,732,871,449,464
15.79,739,878,460,489
15.88,730,871,446,463
